COUPON_ID,EXPIRE_DT  
005LNF82IDU5,20200522 
007COYFVZNTR,20200522
007SX7V25ZM4,20200522
00IFBIP6ANPV,20200823 
00IG0T0K5BOX,20200823 
00JGA6S4BB9M,20200823 
00KX8THF0B14,20200823 
00R68DAXTNSK,20200823 
00T4M1DT1YLT,20200823 
012GM9TF4VGH,20200823 
01C8AKRWM8K3,20200823 
01EFTVOQXL5C,20200823 
01GSJ96H9KJ0,20200823 
01TJ9H68GYCD,20200823 
022LV0J3PGA3,20200823 
02D9Y8CC1J7J,20200823 
02MWZG051628,20200823 
02OFNVW0UFMN,20200823 
02R3L0FXEHM0,20200823 
02YZB3YONJ3P,20200823 
034OWMIQPT1Z,20200823 
03DA9ZG5VRXL,20200823 
03DI2MJYP1S6,20200823 
03IHV2BY8IHE,20200823 
03IW6SK0DU3B,20200823 
03KXEGP0TPPQ,20200823 
03PC7WI0C6FE,20200823 
03TLBH9A1RPX,20200823 
03U2H2UIS17J,20200823 
042XHI4TN29D,20200823 
044OI2B6ODTJ,20200823 
0483W10DK0UH,20200823 
0487C8HB3XMI,20200823 
048ZFF0LKQEG,20200923 
04BROYL0MQL4,20200823 
04K0WIGDB2OR,20200823 
04LGB4QYMM2X,20200823 
04ZRHXQQT1W9,20200823 
05KOC1C1KCVV,20200823 
05LQIZTQKL1F,20200823 
05X9M4TVJUDY,20200823 
066CS86PSYU2,20200823 
068J0KRYUJ1B,20200823 
069QMXOL09MR,20200823 
06AQ13IQBT0X,20200823 
06FPUJAQUAQ5,20200823 
06J9NSWUUK2X,20200823 
06KIYIJFCV1B,20200823 
06O17BYII7T9,20200823 
06OE2J53JMTS,20200823 
06X88JMQIU5Y,20200823 
06ZH4RYCF9AN,20200823 
070MPOX256PQ,20200823 
0730KUXW9UV6,20200823 
075HIH3OYEM8,20200823 
07H54O9M964K,20200823 
07H8VZF6XUWI,20200823 
07XK2TZPZ2ND,20200823 
07ZIYPMQZDN0,20200923 
085ERPW4QPUA,20200823 
088JDQO22RZH,20200823 
088UY5EZL6NG,20200823 
089MOJWQXPL4,20200823 
08A1JO5S2G62,20200823 
08JQSOG4RSA9,20200823 
08QOH1RK1ZTE,20200823 
08SKNXCIWSES,20200823 
093NNC3FHN9U,20200823 
096JA9YCHQ9L,20200823 
09JG4SOH2CH0,20200823 
09JV6OMZIOH8,20200823 
09KS957ZZFAZ,20200823 
09UMAZPLWPDO,20200823 
09Y7P7EULBOI,20200823 
0A1MOKSWMXCV,20200823 
0A3GHF6SBDOV,20200823 
0A3H9ATUT6ZB,20200823 
0A6MSBP5ZN85,20200823 
0ACPX8YJX00Q,20200823 
0AEJP3CWM0CA,20200823 
0AFGN1L34NDP,20200823 
0AGPGWZGU259,20200823 
0AQK1ZILAYG7,20200823 
0B3PVL5YLAUR,20200823 
0B5GWPCRMLUC,20200823 
0B9KXNJGJJM2,20200823 
0BGIK9M2YKQG,20200823 
0BIXP88RFKPR,20200823 
